1000	9.3828800000e+04
11000	8.3029580000e+05
21000	9.8781670000e+05
31000	1.3907082000e+06
41000	1.8520709000e+06
51000	2.3655834000e+06
61000	2.8446293000e+06
71000	3.3579873000e+06
81000	3.9143626000e+06
91000	4.3704333000e+06
101000	4.9185001000e+06
111000	5.4589334000e+06
121000	6.0677376000e+06
131000	6.5129625000e+06
141000	7.0010752000e+06
151000	7.5861044000e+06
161000	8.1305794000e+06
171000	8.5959082000e+06
181000	9.2182707000e+06
191000	9.7942709000e+06
201000	1.0334683400e+07
211000	1.0874283200e+07
221000	1.1397416900e+07
231000	1.1953370800e+07
241000	1.2468825200e+07
251000	1.3061395800e+07
261000	1.3560716700e+07
271000	1.4198641800e+07
281000	1.4771691700e+07
291000	1.5317637500e+07
301000	1.5811370800e+07
311000	1.6421204200e+07
321000	1.7188466600e+07
331000	1.7527604300e+07
341000	1.8138554200e+07
351000	1.8752358300e+07
361000	1.9300816700e+07
371000	1.9856679000e+07
381000	2.0506599900e+07
391000	2.0949029400e+07
401000	2.1629558400e+07
411000	2.2168845800e+07
421000	2.2730316600e+07
431000	2.3286887500e+07
441000	2.3991387600e+07
451000	2.4475095800e+07
461000	2.5144387500e+07
471000	2.5557308500e+07
481000	2.6091437500e+07
491000	2.6824254100e+07
501000	2.7455475100e+07
511000	2.8031437500e+07
521000	2.8625662300e+07
531000	2.9186158200e+07
541000	3.0160579300e+07
551000	3.0239758300e+07
561000	3.1140920900e+07
571000	3.1538308300e+07
581000	3.2087712500e+07
591000	3.3027783300e+07
601000	3.3578125200e+07
611000	3.3951641500e+07
621000	3.4839099800e+07
631000	3.4989050000e+07
641000	3.6090845700e+07
651000	3.6617408400e+07
661000	3.7087950100e+07
671000	3.7687191800e+07
681000	3.8457504200e+07
691000	3.8636650100e+07
701000	3.9643575100e+07
711000	3.9782658500e+07
721000	4.0962533400e+07
731000	4.1416816700e+07
741000	4.1842729300e+07
751000	4.2125395900e+07
761000	4.3283604300e+07
771000	4.4028296000e+07
781000	4.4511570700e+07
791000	4.5027941700e+07
801000	5.0378491700e+07
811000	4.6562370900e+07
821000	4.7614391800e+07
831000	4.7884800000e+07
841000	4.9479875100e+07
851000	4.9886420800e+07
861000	5.0370124800e+07
871000	5.1284237400e+07
881000	5.1430237300e+07
891000	5.1978716800e+07
901000	5.2706537500e+07
911000	5.2951879300e+07
921000	5.4052895700e+07
931000	5.4221137600e+07
941000	5.5414558500e+07
951000	5.5784291600e+07
961000	5.5967071000e+07
971000	5.7273583200e+07
981000	5.7597500200e+07
991000	5.8157775000e+07
